1.wav,32 
 2.wav,90 
 3.wav,0 
 4.wav,56 
 5.wav,41 
 6.wav,25 
 7.wav,78 
 8.wav,91 
 9.wav,0 
 10.wav,29 
 11.wav,32 
 12.wav,100 
 13.wav,19 
 14.wav,0 
 15.wav,93 
 1.wav,67 
 2.wav,86 
 3.wav,25 
 4.wav,58 
 5.wav,40 
 6.wav,64 
 7.wav,80 
 8.wav,91 
 9.wav,15 
 10.wav,57 
 11.wav,61 
 12.wav,74 
 13.wav,9 
 14.wav,12 
 15.wav,74 
 1.wav,50 
 2.wav,81 
 3.wav,94 
 4.wav,62 
 5.wav,44 
 6.wav,31 
 7.wav,63 
 8.wav,69 
 9.wav,0 
 10.wav,29 
 11.wav,68 
 12.wav,65 
 13.wav,27 
 14.wav,50 
 15.wav,65 
 1.wav,60 
 2.wav,76 
 3.wav,14 
 4.wav,19 
 5.wav,29 
 6.wav,10 
 7.wav,100 
 8.wav,82 
 9.wav,0 
 10.wav,32 
 11.wav,45 
 12.wav,91 
 13.wav,22 
 14.wav,2 
 15.wav,87 
 1.wav,66 
 2.wav,97 
 3.wav,0 
 4.wav,84 
 5.wav,72 
 6.wav,11 
 7.wav,89 
 8.wav,67 
 9.wav,10 
 10.wav,36 
 11.wav,79 
 12.wav,85 
 13.wav,49 
 14.wav,84 
 15.wav,88 
 1.wav,18 
 2.wav,100 
 3.wav,5 
 4.wav,0 
 5.wav,48 
 6.wav,39 
 7.wav,63 
 8.wav,77 
 9.wav,0 
 10.wav,49 
 11.wav,59 
 12.wav,55 
 13.wav,30 
 14.wav,17 
 15.wav,100 
 1.wav,31 
 2.wav,100 
 3.wav,44 
 4.wav,50 
 5.wav,64 
 6.wav,54 
 7.wav,73 
 8.wav,85 
 9.wav,0 
 10.wav,67 
 11.wav,18 
 12.wav,78 
 13.wav,5 
 14.wav,23 
 15.wav,100 
 1.wav,18 
 2.wav,80 
 3.wav,11 
 4.wav,42 
 5.wav,23 
 6.wav,35 
 7.wav,100 
 8.wav,71 
 9.wav,30 
 10.wav,51 
 11.wav,63 
 12.wav,77 
 13.wav,0 
 14.wav,7 
 15.wav,85 
 