1.wav,64 
 2.wav,90 
 3.wav,34 
 4.wav,92 
 5.wav,56 
 6.wav,66 
 7.wav,50 
 8.wav,61 
 9.wav,16 
 10.wav,75 
 11.wav,100 
 12.wav,0 
 13.wav,49 
 14.wav,27 
 15.wav,43 
 1.wav,25 
 2.wav,91 
 3.wav,31 
 4.wav,91 
 5.wav,0 
 6.wav,66 
 7.wav,19 
 8.wav,34 
 9.wav,52 
 10.wav,34 
 11.wav,100 
 12.wav,46 
 13.wav,50 
 14.wav,26 
 15.wav,66 
 1.wav,77 
 2.wav,37 
 3.wav,84 
 4.wav,1 
 5.wav,23 
 6.wav,75 
 7.wav,12 
 8.wav,45 
 9.wav,28 
 10.wav,65 
 11.wav,100 
 12.wav,89 
 13.wav,78 
 14.wav,28 
 15.wav,58 
 1.wav,57 
 2.wav,85 
 3.wav,20 
 4.wav,93 
 5.wav,40 
 6.wav,12 
 7.wav,32 
 8.wav,55 
 9.wav,50 
 10.wav,66 
 11.wav,100 
 12.wav,61 
 13.wav,75 
 14.wav,0 
 15.wav,30 
 1.wav,0 
 2.wav,72 
 3.wav,10 
 4.wav,100 
 5.wav,84 
 6.wav,53 
 7.wav,35 
 8.wav,15 
 9.wav,0 
 10.wav,15 
 11.wav,100 
 12.wav,16 
 13.wav,27 
 14.wav,23 
 15.wav,59 
 1.wav,45 
 2.wav,81 
 3.wav,26 
 4.wav,92 
 5.wav,0 
 6.wav,66 
 7.wav,37 
 8.wav,23 
 9.wav,10 
 10.wav,56 
 11.wav,100 
 12.wav,39 
 13.wav,49 
 14.wav,42 
 15.wav,76 
 1.wav,40 
 2.wav,84 
 3.wav,44 
 4.wav,100 
 5.wav,11 
 6.wav,64 
 7.wav,0 
 8.wav,36 
 9.wav,27 
 10.wav,40 
 11.wav,89 
 12.wav,70 
 13.wav,50 
 14.wav,30 
 15.wav,56 
 